PART-ID,CATALOG_NUMBER,UPC,WEIGHT,MAIN_IMAGE,INSTALLATION-MANUAL,ATTRIBUTES
2271278,25 UB FR,662384101188,63.72,https://cdnmedia.regalbeloit.com/images/d120001/derivates/7/001/800/824/Kop-Flex_max-c-ub_Rep_Image.jpg,https://cdnmedia.regalbeloit.com/images/d120001/medias/docus/4402/InstallationManuals_Form_6007CPE.pdf,Lube/Non-Lube:Non-Lubricated|Coupling Type:Elastomeric Coupling|Style:Max-C (UB)|Coupling Size:2.5|Bore Size Max:2.625|Bore Type:Rough Bore|Speed Max (rpm):3200|Measurement System:Imperial|Outside Diameter (in):9.5|Configuration:Flex Rigid|Speed Max Balanced (rpm):4800|Max Bore Flex Hub:2.62|Stock Rough Bore Max (C Flex) or DO:1|Max Bore Rigid Hub:3.88|Rating HP @ 100 RPM - Continuous:22|Rating HP @ 100 RPM - Peak:44|
2271351,20 UB FR FB,662384101263,41.39,https://cdnmedia.regalbeloit.com/images/d120001/derivates/7/001/800/824/Kop-Flex_max-c-ub_Rep_Image.jpg,https://cdnmedia.regalbeloit.com/images/d120001/medias/docus/4402/InstallationManuals_Form_6007CPE.pdf,Lube/Non-Lube:Non-Lubricated|Coupling Type:Elastomeric Coupling|Style:Max-C (UB)|Coupling Size:2|Bore Size Max:2.125|Bore Type:Finished Bore|Speed Max (rpm):3930|Measurement System:Imperial|Outside Diameter (in):7.75|Configuration:Flex Rigid|Speed Max Balanced (rpm):5900|Max Bore Flex Hub:2.12|Stock Rough Bore Max (C Flex) or DO:0.875|Max Bore Rigid Hub:3.12|Rating HP @ 100 RPM - Continuous:12|Rating HP @ 100 RPM - Peak:24|
2287332,453 KD 2 SS900,662384151121,2.64,https://cdnmedia.regalbeloit.com/images/d120001/derivates/7/001/800/816/Kop-Flex_KD%202.jpg,https://cdnmedia.regalbeloit.com/images/d120001/medias/docus/4402/InstallationManuals_Form_15-111E.pdf,Length (in):0.00|Width (in):0.00|Height (in):0.00|Lube/Non-Lube:Non-Lubricated|Coupling Type:Disc Coupling|Style:KD2|Coupling Size:453|Bore Size Max:7.25|Bore Type:Rough Bore|Speed Max (rpm):7000|Measurement System:Imperial|Outside Diameter (in):13.25|Rough Bore:3|Max C Bore:9.62|Bore Range (in):3 to 7.25|Configuration:2 standard hubs|Stock C Dimension:9|Total WR2 (lb-in2):6180|Total Length (Std Hub Post) (in):18.62|Hub Material:Carbon Steel|Axial Capacity (+/-):0.2|Length Through Bore (in):4.81|Torque [Max] (ft-lb):21500|Rating HP @ 100 RPM:205|Length Through Bore standard hub (in):4.81|Bore Size Min:3|Total Length (One Hub Reverse) (in):Total Length (One Hub Reverse) (in)|Hub Diameter (in):10.12|
2297760,50 EE,662384080124,9.77,https://cdnmedia.regalbeloit.com/images/d120001/derivates/7/001/800/821/Kop-Flex_ee_fb_fr_Rep_Image.jpg,https://cdnmedia.regalbeloit.com/images/d120001/medias/docus/4402/InstallationManuals_Form_08-1530E.pdf,Lube/Non-Lube:Non-Lubricated|Coupling Type:Elastomeric Coupling|Style:Standard (EE)|Coupling Size:5|Bore Size Max:2.125|Bore Type:Rough Bore|Speed Max (rpm):4100|Measurement System:Imperial|Outside Diameter (in):6.0625|Shaft Separation Max. (C):2.125|Hub Sep. (L) Wide Mount:2.125|Hub Sep. (L) Close Mount:0.125|Shaft Separation Min. (C):0.125|Stock Rough Bore (E Hub):0.625|Torque [Max] (in-lb):3630|Bore w/ Std. Keyway - Min E or R Hub:2.125|Bore w/ Std. Keyway - Max E or R Hub:0.75|
2287357,103 KD 2 SS438 FB,662384151985,12.31,https://cdnmedia.regalbeloit.com/images/d120001/derivates/7/001/800/816/Kop-Flex_KD%202.jpg,https://cdnmedia.regalbeloit.com/images/d120001/medias/docus/4402/InstallationManuals_Form_15-111E.pdf,Lube/Non-Lube:Non-Lubricated|Coupling Type:Disc Coupling|Style:KD2|Coupling Size:103|Bore Size Max:1.88|Bore Type:Finished Bore|Speed Max (rpm):17000|Measurement System:Imperial|Outside Diameter (in):4.31|Rough Bore:0.5|Max C Bore:2.38|Bore Range (in):0.5 to 1.88|Configuration:2 standard hubs|Stock C Dimension:4.375|Total WR2 (lb-in2):22|Total Length (Std Hub Post) (in):7.375|Hub Material:Carbon Steel|Axial Capacity (+/-):0.06|Length Through Bore (in):1.5|Torque [Max] (ft-lb):452|Rating HP @ 100 RPM:4.3|Length Through Bore standard hub (in):1.5|Bore Size Min:0.5|Total Length (One Hub Reverse) (in):Total Length (One Hub Reverse) (in)|Hub Diameter (in):2.62|
2287738,153 KD 2 LS500 FB,662384152234,35.01,https://cdnmedia.regalbeloit.com/images/d120001/derivates/7/001/800/816/Kop-Flex_KD%202.jpg,https://cdnmedia.regalbeloit.com/images/d120001/medias/docus/4402/InstallationManuals_Form_15-111E.pdf,Lube/Non-Lube:Non-Lubricated|Coupling Type:Disc Coupling|Style:KD2|Coupling Size:153|Bore Size Max:2.88|Bore Type:Finished Bore|Speed Max (rpm):14200|Measurement System:Imperial|Outside Diameter (in):5.69|Rough Bore:0.75|Max C Bore:3.88|Bore Range (in):0.75 to 2.88|Configuration:1 long hub/1 standard hub|Stock C Dimension:5|Total WR2 (lb-in2):93.1|Total Length (Std Hub Post) (in):10.12|Hub Material:Carbon Steel|Axial Capacity (+/-):0.075|Torque [Max] (ft-lb):1313|Rating HP @ 100 RPM:12.5|Length Through Bore standard hub (in):2|Bore Size Min:0.75|Compatible Bore Size (long hub) [Max] (in):2.88|Compatible Bore Size (long hub) [Min] (in):0.75|Length Through Bore (long hub) (in):3.12|Total Length (One Hub Reverse) (in):Total Length (One Hub Reverse) (in)|
2287498,403 KD 2 SS900 FB,662384152821,295.64,https://cdnmedia.regalbeloit.com/images/d120001/derivates/7/001/800/816/Kop-Flex_KD%202.jpg,https://cdnmedia.regalbeloit.com/images/d120001/medias/docus/4402/InstallationManuals_Form_15-111E.pdf,Lube/Non-Lube:Non-Lubricated|Coupling Type:Disc Coupling|Style:KD2|Coupling Size:403|Bore Size Max:6.25|Bore Type:Finished Bore|Speed Max (rpm):7500|Measurement System:Imperial|Outside Diameter (in):12.25|Rough Bore:2.5|Max C Bore:8.5|Bore Range (in):2.5 to 6.25|Configuration:2 standard hubs|Stock C Dimension:9|Total WR2 (lb-in2):4290|Total Length (Std Hub Post) (in):17.88|Hub Material:Carbon Steel|Axial Capacity (+/-):0.175|Torque [Max] (ft-lb):16250|Rating HP @ 100 RPM:155|Length Through Bore standard hub (in):4.44|Bore Size Min:2.5|Total Length (One Hub Reverse) (in):Total Length (One Hub Reverse) (in)|
2275675,4 1/2F EB FF,662384010145,222.5,https://cdnmedia.regalbeloit.com/images/d120001/derivates/7/001/800/788/Series_F_EB_FR_FB_Rep_Image.jpg,https://cdnmedia.regalbeloit.com/images/d120001/medias/docus/4402/InstallationManuals_Form_1900-01E.pdf,Lube/Non-Lube:Lubricated|Coupling Type:Gear Coupling|Style:FASTS|Coupling Size:4.5|Bore Size Max:4.75|Bore Type:Rough Bore|Speed Max (rpm):4770|Measurement System:Imperial|Material:Medium Carbon Steel|Outside Diameter (in):13.625|Configuration:Full Flex|Length Through Bore (in):5.3125|Rating HP @ 100 RPM:505|Overall Length (in):10.9375|Model Name:1-5-7_FF|Fastener Size & Length:3/4 x 3 3/8|Fastener Quantity:10|Tooth Profile:Straight Faced Involute Hub tooth|Bolt Type:Exposed|Bolt Circle:12|Compatible Bore Size [Min] (in):3|
2288215,103 KD 2 JS500,662384150315,19.56,https://cdnmedia.regalbeloit.com/images/d120001/derivates/7/001/800/816/Kop-Flex_KD%202.jpg,https://cdnmedia.regalbeloit.com/images/d120001/medias/docus/4402/InstallationManuals_Form_15-111E.pdf,Lube/Non-Lube:Non-Lubricated|Coupling Type:Disc Coupling|Style:KD2|Coupling Size:103|Bore Size Max:1.88|Bore Type:Rough Bore|Speed Max (rpm):17000|Measurement System:Imperial|Outside Diameter (in):4.31|Rough Bore:0.5|Max C Bore:2.38|Bore Range (in):0.5 to 1.88|Configuration:1 jumbo hub/1 standard hub|Stock C Dimension:5|Total WR2 (lb-in2):22|Total Length (Std Hub Post) (in):9|Hub Material:Carbon Steel|Axial Capacity (+/-):0.06|Length Through Bore (in):4|Torque [Max] (ft-lb):452|Rating HP @ 100 RPM:4.3|Length Through Bore standard hub (in):1.5|Bore Size Min:0.5|Length Through Bore (long hub) (in):2.5|Compatible Bore Size (jumbo hub) [Max] (in):2.75|Compatible Bore Size (jumbo hub) [Min] (in):1.25|Total Length (One Hub Reverse) (in):Total Length (One Hub Reverse) (in)|Hub Diameter (in):2.62|
2275691,5 1/2F EB FF,662384010169,416.23,https://cdnmedia.regalbeloit.com/images/d120001/derivates/7/001/368/178/Article_2275691_Still02_9_02.jpg,https://cdnmedia.regalbeloit.com/images/d120001/medias/docus/4402/InstallationManuals_Form_1900-01E.pdf,Lube/Non-Lube:Lubricated|Coupling Type:Gear Coupling|Style:FASTS|Coupling Size:5.5|Bore Size Max:5.875|Bore Type:Rough Bore|Speed Max (rpm):3880|Measurement System:Imperial|Material:Medium Carbon Steel|Outside Diameter (in):16.75|Configuration:Full Flex|Length Through Bore (in):6.90625|Rating HP @ 100 RPM:920|Overall Length (in):13.8125|Model Name:1-5-7_FF|Fastener Size & Length:7/8 x 4 1/4|Fastener Quantity:14|Tooth Profile:Straight Faced Involute Hub tooth|Bolt Type:Exposed|Bolt Circle:14.5|Compatible Bore Size [Min] (in):3.25|
